Field,Description of Field,Equipment Used (if applicable)
SITEID,Sampling event unique identifier,
Project Name,Long form of project name,
Field Number,"Combination of Project, date, and a number to differentiate sites",
Date,Date of sampling,
Day,Day of sampling,
Month,Month of sampling,
Year,Year of sampling,
Date fished,Date passive gear collected,
Waterbody Name,Name of waterbody,
WaterbodyType,"Waterbody type, limited to wetland, stream, or lake",
Arrival Time,Time when site is reached prior to sampling,
Departure Time,Time when site is departed upon sampling completion,
Narrative Locality Description,"Description of the location of the sampling site, i.e. geographic names (roads, towns, etc.), structures (culverts, bridges, farms, etc.) and relative direction of the site from these features",
Start Time,Time at which the crew begins sampling.,
Stop Time,Time at which the crew completed sampling.,
Start Latitude,Latitude at which the crew began sampling in decimal degrees,
Start Longitude,Longitude at which the crew began sampling in decimal degrees,
Stop Latitude,Latitude at which the crew completed sampling in decimal degrees,
Stop Longitude,Longitude at which the crew completed sampling in decimal degrees,
Gear,"Sampling gear code: BEF , BPEF, BPEF & SN, BS, DN, eDNA, FN, GN, HN, HN & MT, HN, MT & WT, LOG, LRV, MFN, MT, QLT, SN, TAG, TL, TN, TRL, VEG, WT/MT Combo","Variable, details provided in ""Description of Gear"" field"
,BEF - Boat Electrofisher,
,BPEF - Backpack Electrofisher,
,BPEF & SN - Backpack Electrofisher and Seine Net,
,BS - Boat Seine Net,
,DN - Dip Net,
,eDNA - Environmental DNA Sampling (water sample),
,FN - Fyke Net,
,GN - Gill Net,
,HN - Hoop Net,
,HN & MT - Hoop Net and Minnow Trap,
,"HN, MT & WT - Hoop Net, Minnow Trap, and Windermere Trap",
,LOG - Logger,
,LRV - Larval Drift Net,
,MFN - Mini Fyke Net,
,MT - Minnow Trap,
,QLT - Quadrofoil Larval Trap,
,SN - Seine Net,
,TAG - Telemetry Receiver,
,TL - Trap Line,
,TN - Trap Net,
,TRL - Trawl Net,
,VEG - Vegetation Sampling,
,WT/MT Combo - Windermere Trap/Minnow Trap Combination,
,,
Description of Gear,Details of gear used,
Effort,Numerical measurement of effort,
Quantification of Effort,Units of effort measurement,
Sampling_Method,Type of sampling undertaken:,
,Assessment - No block net was used. Fish were captured from a variety of locations at the site.,
,Depletion - A block net was used to isolate the site. Fish were captured from the same location until the isolated site was perceived to be depleted.,
,Repeated - No block net was used to isolate the site. Fish were captured from the same location several times.,
,Standardized - Gear types are deployed and fished in a consistent repeatable manner for fish community assessments.,
,"Targeted - The deployment of gears and degree of effort is focused on the detection and capture of specified species, not on performing standardized and repeatable sampling.",
,,
Amps (A),Electrofishing gear setting,
Volts (V),Electrofishing gear setting,
Power (%),Electrofishing gear setting,
Pulse/sec (Hz),Electrofishing gear setting,
Watts (W),Electrofishing gear setting,
Air Temperature (C),Air temperature in degrees Celsius,"Kestrel Pocket Wind Meter (1000, 2000, 3000)"
Water Temperature (C),Water temperature in degrees Celsius,"Hanna HI 98312 DiST 6 EC/TDS/Temperature Tester, or YSI EXO2 Multiparameter Sonde (previous: YSI EXO/6600EDS-M/6600V2M; Hydrolab DS5)"
Conductivity (uS/cm),Conductivity in uS/cm,"Hanna HI 98312 DiST 6 EC/TDS/Temperature Tester, or YSI EXO2"
Dissolved Oxygen (mg/L),Dissolved oxygen in mg/L,YSI EXO2 Multiparameter Sonde (previous: YSI EXO/6600EDS-M/6600V2M/ProODO; Hydrolab DS5)
pH,pH of water,YSI EXO2 Multiparameter Sonde (previous: YSI EXO/6600EDS-M/6600V2M; Hydrolab DS5)
Secchi Disc > measured,"Yes = the Secchi depth was greater than what is recorded in ""Secchi Disc""",
Secchi Disc (m),Secchi Disc depth measurement in meters,
Secchi Tube > measured,"Yes = the Secchi depth was greater than what is recorded in ""Secchi Tube""",
Secchi Tube (m),Secchi Tube depth measurement in meters,
Turbidity (ntu),Turbidity measured in ntu,YSI EXO2 (Previous: La Motte 2020e Turbidity meter; YSI EXO)
Stream Width (m),Stream width measured in meters,"Nikon/Bushnell range finder (various), measuring tape, visual estimation, Garmin/Humminbird/Lowrance GPS unit"
Distance From Shore (m),"The maximum distance from shore the crew has sampled, measured in meters","Nikon/Bushnell range finder (various), measuring tape, visual estimation, Garmin/Humminbird/Lowrance GPS unit"
Site Length (m),Length of the site in meters,"Nikon/Bushnell range finder (various), measuring tape, visual estimation, Garmin/Humminbird/Lowrance GPS unit"
Sample Area Width (m),Width of sampling area in metres,"Nikon/Bushnell range finder (various), measuring tape, visual estimation, Garmin/Humminbird/Lowrance GPS unit"
Sample Area Length (m),Length of sampling area in metres,"Nikon/Bushnell range finder (various), measuring tape, visual estimation, Garmin/Humminbird/Lowrance GPS unit"
Habitat Type,"Qualitative assessment of the type of habitat within the sampling area. Options are ""riffle"", ""run"", ""pool"" a combination thereof, or ""lake""",
Dominant Vegetation,"Aquatic vegetation that is dominant in the sampling area, visually assessed and identified to Genus at minimum",
Bank Slope (%),Visual assessment of the bank slope as a percentage,
Bank Slope (degrees),Visual assessment of the bank slope in degrees,
Channel Cover (%),Visual assessment of the amount of canopy cover (riparian vegetation and valley vegetation) occurring over the sampling site,
Wind Speed (Beaufort),Wind speed using Beaufort Wind Speed Scale (0-10). Field no longer utilized.,
Wind Speed (km/h),Wind speed in km/h,"Kestrel Pocket Wind Meter (1000, 2000, 3000)"
Wind Direction,"Compass direction, i.e. N, NNW, etc.",
Province,Province in which sampling occurred,
Date Record Created,Date data entry occurred in database,
